flight_number,date_utc,rocket,success,payloads,launchpad
49,2017-10-11T22:53:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c5b6c3bb0006eeb216'],5e9e4502f509094188566f88
50,2017-10-30T19:34:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c5b6c3bb0006eeb217'],5e9e4502f509094188566f88
51,2017-12-15T15:36:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c5b6c3bb0006eeb218'],5e9e4501f509094ba4566f84
52,2017-12-23T01:27:23.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c6b6c3bb0006eeb219'],5e9e4502f509092b78566f87
53,2018-01-08T01:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c6b6c3bb0006eeb21a'],5e9e4501f509094ba4566f84
54,2018-01-31T21:25:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c6b6c3bb0006eeb21b'],5e9e4501f509094ba4566f84
55,2018-02-06T20:45:00.000Z,5e9d0d95eda69974db09d1ed,True,['5eb0e4c6b6c3bb0006eeb21c'],5e9e4502f509094188566f88
56,2018-02-22T14:17:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4c6b6c3bb0006eeb21d', '5eb0e4c6b6c3bb0006eeb21e']",5e9e4502f509092b78566f87
57,2018-03-06T05:33:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb21f'],5e9e4501f509094ba4566f84
58,2018-03-30T14:13:51.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb220'],5e9e4502f509092b78566f87
59,2018-04-02T20:30:41.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb221'],5e9e4501f509094ba4566f84
60,2018-04-18T22:51:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb222'],5e9e4501f509094ba4566f84
61,2018-05-11T20:14:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c7b6c3bb0006eeb223'],5e9e4502f509094188566f88
62,2018-05-22T19:47:58.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4c7b6c3bb0006eeb224', '5eb0e4c8b6c3bb0006eeb225']",5e9e4502f509092b78566f87
63,2018-06-04T04:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c8b6c3bb0006eeb226'],5e9e4501f509094ba4566f84
64,2018-06-29T09:42:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c8b6c3bb0006eeb227'],5e9e4501f509094ba4566f84
65,2018-07-22T05:50:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c8b6c3bb0006eeb228'],5e9e4501f509094ba4566f84
66,2018-07-25T11:39:26.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb229'],5e9e4502f509092b78566f87
67,2018-08-07T05:18:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22a'],5e9e4501f509094ba4566f84
68,2018-09-10T04:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22b'],5e9e4501f509094ba4566f84
69,2018-10-08T02:22:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22c'],5e9e4502f509092b78566f87
70,2018-11-15T20:46:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22d'],5e9e4502f509094188566f88
71,2018-12-03T18:34:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4c9b6c3bb0006eeb22e'],5e9e4502f509092b78566f87
72,2018-12-05T18:16:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cab6c3bb0006eeb22f'],5e9e4501f509094ba4566f84
73,2018-12-23T13:51:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cab6c3bb0006eeb230'],5e9e4501f509094ba4566f84
74,2019-01-11T15:31:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cab6c3bb0006eeb231'],5e9e4502f509092b78566f87
75,2019-02-22T01:45:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5eb0e4cab6c3bb0006eeb232', '5eb0e4cab6c3bb0006eeb233', '5eb0e4cab6c3bb0006eeb234']",5e9e4501f509094ba4566f84
76,2019-03-02T07:45:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cbb6c3bb0006eeb235'],5e9e4502f509094188566f88
77,2019-04-11T22:35:00.000Z,5e9d0d95eda69974db09d1ed,True,['5eb0e4cbb6c3bb0006eeb236'],5e9e4502f509094188566f88
78,2019-05-04T06:48:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cbb6c3bb0006eeb237'],5e9e4501f509094ba4566f84
79,2019-05-24T02:30:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cbb6c3bb0006eeb238'],5e9e4501f509094ba4566f84
80,2019-06-12T14:17:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4ccb6c3bb0006eeb239'],5e9e4502f509092b78566f87
81,2019-06-25T03:30:00.000Z,5e9d0d95eda69974db09d1ed,True,"['5eb0e4ccb6c3bb0006eeb23a', '5eb0e4ccb6c3bb0006eeb23b', '5eb0e4ccb6c3bb0006eeb23c', '5eb0e4ccb6c3bb0006eeb23d', '5eb0e4ccb6c3bb0006eeb23e', '5eb0e4cdb6c3bb0006eeb23f', '5eb0e4cdb6c3bb0006eeb240', '5eb0e4cdb6c3bb0006eeb241', '5eb0e4cdb6c3bb0006eeb242', '5eb0e4cdb6c3bb0006eeb243', '5eb0e4cdb6c3bb0006eeb244', '5eb0e4cdb6c3bb0006eeb245', '5eb0e4ceb6c3bb0006eeb246', '5eb0e4ceb6c3bb0006eeb247', '5eb0e4ceb6c3bb0006eeb248', '5eb0e4ceb6c3bb0006eeb249']",5e9e4502f509094188566f88
82,2019-07-25T22:01:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4ceb6c3bb0006eeb24a'],5e9e4501f509094ba4566f84
83,2019-08-06T22:52:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24b'],5e9e4501f509094ba4566f84
84,2019-11-11T14:56:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24c'],5e9e4501f509094ba4566f84
85,2019-12-05T17:29:23.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24d'],5e9e4501f509094ba4566f84
86,2019-12-17T00:10:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24e'],5e9e4501f509094ba4566f84
87,2020-01-07T02:19:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4cfb6c3bb0006eeb24f'],5e9e4501f509094ba4566f84
88,2020-01-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d0b6c3bb0006eeb250'],5e9e4502f509094188566f88
89,2020-01-29T14:06:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d0b6c3bb0006eeb251'],5e9e4501f509094ba4566f84
90,2020-02-17T15:05:55.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d0b6c3bb0006eeb252'],5e9e4501f509094ba4566f84
91,2020-03-07T04:50:31.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d0b6c3bb0006eeb253'],5e9e4501f509094ba4566f84
92,2020-03-18T12:16:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d0b6c3bb0006eeb254'],5e9e4502f509094188566f88
93,2020-04-22T19:30:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d1b6c3bb0006eeb255'],5e9e4502f509094188566f88
94,2020-05-30T19:22:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d1b6c3bb0006eeb257'],5e9e4502f509094188566f88
95,2020-06-04T01:25:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d1b6c3bb0006eeb256'],5e9e4501f509094ba4566f84
96,2020-06-13T09:21:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d1b6c3bb0006eeb258'],5e9e4501f509094ba4566f84
97,2020-06-30T19:55:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d2b6c3bb0006eeb25c'],5e9e4501f509094ba4566f84
98,2020-07-20T21:30:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d2b6c3bb0006eeb25b'],5e9e4501f509094ba4566f84
99,2020-08-07T05:12:00.000Z,5e9d0d95eda69973a809d1ec,True,"['5ed9858b1f30554030d45c3e', '5ee522e32f1f3d474c758123']",5e9e4502f509094188566f88
100,2020-08-18T14:31:00.000Z,5e9d0d95eda69973a809d1ec,True,['5ed9859f1f30554030d45c3f'],5e9e4501f509094ba4566f84
101,2020-08-30T23:18:00.000Z,5e9d0d95eda69973a809d1ec,True,['5eb0e4d1b6c3bb0006eeb259'],5e9e4501f509094ba4566f84
102,2020-09-03T12:46:00.000Z,5e9d0d95eda69973a809d1ec,True,['5ef6a4600059c33cee4a829e'],5e9e4502f509094188566f88
103,2020-10-06T11:29:00.000Z,5e9d0d95eda69973a809d1ec,True,['5ef6a48e0059c33cee4a829f'],5e9e4502f509094188566f88
104,2020-10-18T12:25:00.000Z,5e9d0d95eda69973a809d1ec,True,['5ef6a4d50059c33cee4a82a1'],5e9e4502f509094188566f88
